row_id,gross_rent
0,577
1,844
2,700
3,592
4,444
5,531
6,976
7,725
8,533
9,531
10,806
11,406
12,645
13,984
14,931
15,1001
16,780
17,694
18,674
19,609
20,733
21,691
22,578
23,1367
24,497
25,744
26,729
27,490
28,861
29,523
30,755
31,596
32,497
33,958
34,637
35,930
36,579
37,550
38,521
39,479
40,558
41,991
42,617
43,531
44,641
45,869
46,592
47,728
48,519
49,907
50,489
51,713
52,705
53,612
54,606
55,659
56,541
57,663
58,540
59,731
60,577
61,675
62,1187
63,591
64,460
65,582
66,620
67,570
68,578
69,818
70,906
71,621
72,523
73,708
74,638
75,836
76,627
77,1083
78,578
79,675
80,758
81,641
82,1627
83,583
84,474
85,633
86,632
87,577
88,558
89,830
90,658
91,1035
92,523
93,513
94,467
95,602
96,747
97,758
98,558
99,627
100,439
101,473
102,594
103,1544
104,674
105,596
106,1022
107,837
108,480
109,650
110,716
111,1303
112,880
113,813
114,1328
115,670
116,767
117,578
118,949
119,629
120,822
121,644
122,597
123,675
124,489
125,598
126,497
127,879
128,970
129,510
130,629
131,626
132,783
133,713
134,702
135,700
136,729
137,990
138,1016
139,600
140,503
141,604
142,822
143,784
144,634
145,612
146,722
147,622
148,545
149,732
150,689
151,784
152,659
153,481
154,823
155,576
156,593
157,1029
158,713
159,625
160,549
161,739
162,761
163,1487
164,527
165,1096
166,809
167,573
168,1346
169,628
170,616
171,639
172,754
173,692
174,549
175,721
176,781
177,478
178,638
179,608
180,1578
181,535
182,981
183,714
184,600
185,739
186,634
187,552
188,687
189,930
190,1270
191,886
192,814
193,762
194,1093
195,730
196,738
197,925
198,552
199,714
200,532
201,539
202,886
203,942
204,574
205,723
206,647
207,557
208,710
209,700
210,707
211,891
212,638
213,621
214,595
215,702
216,687
217,837
218,566
219,765
220,750
221,617
222,486
223,710
224,586
225,673
226,606
227,375
228,661
229,1176
230,534
231,811
232,865
233,561
234,567
235,917
236,695
237,649
238,748
239,530
240,595
241,642
242,1053
243,1063
244,624
245,778
246,675
247,617
248,623
249,538
250,607
251,810
252,608
253,592
254,807
255,608
256,1071
257,758
258,581
259,910
260,588
261,824
262,876
263,693
264,683
265,553
266,1076
267,637
268,802
269,383
270,608
271,548
272,617
273,705
274,601
275,707
276,709
277,548
278,592
279,804
280,748
281,1548
282,584
283,604
284,582
285,1282
286,668
287,1116
288,645
289,600
290,689
291,650
292,609
293,558
294,524
295,648
296,922
297,505
298,1215
299,661
300,982
301,661
302,508
303,603
304,483
305,589
306,870
307,568
308,595
309,565
310,733
311,771
312,571
313,971
314,582
315,569
316,680
317,675
318,691
319,593
320,589
321,803
322,489
323,539
324,629
325,630
326,623
327,561
328,578
329,762
330,556
331,1216
332,537
333,677
334,571
335,1111
336,694
337,595
338,508
339,606
340,557
341,619
342,717
343,567
344,515
345,1024
346,599
347,594
348,1123
349,648
350,545
351,599
352,608
353,641
354,609
355,648
356,540
357,994
358,1181
359,950
360,553
361,435
362,671
363,670
364,898
365,847
366,521
367,480
368,605
369,938
370,653
371,630
372,1033
373,594
374,626
375,629
376,618
377,1077
378,543
379,720
380,1018
381,506
382,597
383,742
384,1214
385,630
386,575
387,701
388,486
389,558
390,743
391,761
392,589
393,639
394,571
395,558
396,743
397,626
398,1344
399,512
400,957
401,561
